merchantID,customerID,loanReferenceNumber,ISO8583Message
TEST102,CTEST102,TR00010,"0200723C440088E19000164761731234560010090497000000004999042813271012345613271004282803768912304123400ABC0000100TERM0002GOOGLEOFC123@ABGOOGLE OFFC ,4-52 michgan Street, NY, US015IAMSENDINGMONEYUSD00000000000004D2"
TEST102,CTEST102,TR00011,"0200723C440088E19000164761731234560010090497000000000100042813271012345613271004282803768912304123400ABC0000100TERM0002GOOGLEOFC123@ABGOOGLE OFFC ,4-52 michgan Street, NY, US015IAMSENDINGMONEYUSD00000000000004D2"
TEST102,CTEST102,TR00012,"0200723C440088E19000164761731234560010090497000000004500042813271012345613271004282803768912304123400ABC0000100TERM0002GOOGLEOFC123@ABGOOGLE OFFC ,4-52 michgan Street, NY, US015IAMSENDINGMONEYUSD00000000000004D2"
TEST102,CTEST102,TR00013,"0200723C440088E19000164761731234560010090497000000050500042813271012345613271004282803768912304123400ABC0000100TERM0002GOOGLEOFC123@ABGOOGLE OFFC ,4-52 michgan Street, NY, US015IAMSENDINGMONEYUSD00000000000004D2"
TEST102,CTEST102,TR00014,"0200723C440088E19000164761731234560010090497000000000300042813271012345613271004282803768912304123400ABC0000100TERM0002GOOGLEOFC123@ABGOOGLE OFFC ,4-52 michgan Street, NY, US015IAMSENDINGMONEYUSD00000000000004D2"
TEST102,CTEST102,TR00015,"0200723C440088E19000164761731234560010090497000001000500042813271012345613271004282803768912304123400ABC0000100TERM0002GOOGLEOFC123@ABGOOGLE OFFC ,4-52 michgan Street, NY, US015IAMSENDINGMONEYUSD00000000000004D2"
TEST102,CTEST102,TR00016,"0200723C440088E19000164761731234560010090497000000003521042813271012345613271004282803768912304123400ABC0000100TERM0002GOOGLEOFC123@ABGOOGLE OFFC ,4-52 michgan Street, NY, US015IAMSENDINGMONEYUSD00000000000004D2"
TEST102,CTEST102,TR00017,"0200723C440088E19000164761731234560010090497000000003440042813271012345613271004282803768912304123400ABC0000100TERM0002GOOGLEOFC123@ABGOOGLE OFFC ,4-52 michgan Street, NY, US015IAMSENDINGMONEYUSD00000000000004D2"
TEST102,CTEST102,TR00018,"0200723C440088E19000164761731234560010090497000000002500042813271012345613271004282803768912304123400ABC0000100TERM0002GOOGLEOFC123@ABGOOGLE OFFC ,4-52 michgan Street, NY, US015IAMSENDINGMONEYUSD00000000000004D2"
TEST102,CTEST102,TR00019,"0200723C440088E19000164761731234560010090497000000010000042813271012345613271004282803768912304123400ABC0000100TERM0002GOOGLEOFC123@ABGOOGLE OFFC ,4-52 michgan Street, NY, US015IAMSENDINGMONEYUSD00000000000004D2"
TEST102,CTEST102,TR00020,"0200723C440088E19000164761731234560010090497000000005500042813271012345613271004282803768912304123400ABC0000100TERM0002GOOGLEOFC123@ABGOOGLE OFFC ,4-52 michgan Street, NY, US015IAMSENDINGMONEYUSD00000000000004D2"
TEST102,CTEST102,TR00021,"0200723C440088E19000164761731234560010090497000000000100042813271012345613271004282803768912304123400ABC0000100TERM0002GOOGLEOFC123@ABGOOGLE OFFC ,4-52 michgan Street, NY, US015IAMSENDINGMONEYUSD00000000000004D2"
